yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county,
07/07/1999, 06:55:54.8,53.103,-3.692,8.8,0.4, , , , , BETWS-Y-COED,GWYNEDD,
07/12/1999, 02:31:41.3,53.364,-4.439,10.5,0.4, , , , , NORTH ANGLESEY,GWYNEDD,
17/03/2000, 09:57:25.0,53.038,-3.786,14.5,0.4, , , , , BETWS-Y-COED,GWYNEDD,
10/09/2000, 06:52:55.2,52.965,-4.407,21.9,0.4, , , , , LLEYN PENIN,GWYNEDD,
11/07/2001, 20:16:47.5,53.046,-4.48,10.1,0.4, , , , , CAERNARVON BAY,GWYNEDD,
25/08/2001, 03:10:13.6,52.032,-2.837,18.5,0.4, , , , , HEREFORD,HER & WOR,
04/07/2002, 09:54:33.9,53.132,-4.396,9.8,0.4,9,0.1, , , CAERNARVON BAY,GWYNEDD,
18/04/2003, 11:35:24.0,53.069,-4.452,3.9,0.4,4,0, , , CAERNARVON BAY,GWYNEDD,
09/11/2005, 04:06:51.9,52.945,-3.926,15.7,0.4,6,0.1, , , FFESTINIOG,GWYNEDD,
17/01/2015, 22:09:08.6,51.024,-4.686,8.7,0.4,4,0.2, , , HARTLAND POINT,DEVON,
01/10/2015, 22:06:33.8,53.153,-4.324,7,0.4,5,0.1, , , NEWBOROUGH,ANGLESEY,
13/10/2015, 00:27:12.6,53.039,-3.732,10.7,0.4,8,0.2, , , PENTREFOELAS,CONWY,
21/03/2016, 22:04:51.8,53.35,-3.916,5.6,0.4,6,0.1, , , IRISH SEA,,
12/10/2016, 05:23:18.7,52.178,-2.507,4.1,0.4,5,0.1, , , BROMYARD,HEREFORDSHIRE,
13/11/2016, 05:21:35.5,52.074,-2.926,11.6,0.4,4,0.1, , , MOCCAS,HEREFORDSHIRE,
30/12/2016, 21:57:48.3,51.72,-3.676,7.5,0.4,6,0.2, , , GLYNNEATH,NP TALBOT,
20/02/2017, 19:41:03.9,53.119,-4.481,10,0.4,7,0.3, , , CAERNARFON BAY,,
12/03/2018, 15:38:10.6,53.38,-4.454,8.5,0.4,5,0, , , LLANFECHELL,ANGLESEY,
01/01/2020, 19:43:43.7,52.088,-2.683,4.2,0.4,5,0.1, , , HEREFORD,HEREFORDSHIRE,
22/04/2021, 02:55:56.1,53.456,-3.748,8.4,0.4,5,0.4, , , IRISH SEA,,
04/11/2021, 23:24:55.3,52.074,-2.624,8,0.4,4,0.1, , , HEREFORD,HEREFORDSHIRE,
27/03/2023, 03:38:43.9,51.838,-3.246,5.2,0.4,6,0.3, , , BRYNMAWR,GWENT,
30/08/1974, 11:22:39.1,53.1,-3.82,7.8,0.5, , , , , LLANRWST,,
16/12/1983, 12:52:53.5,51.649,-2.845,3.5,0.5,4,1.5, , , CWMBRAN,GWENT,
20/08/1984, 02:23:20.7,52.118,-2.668,7.7,0.5,3,0.1, , , HEREFORD,HERF&WOR,
21/01/1985, 22:26:19.7,52.973,-4.401,22.6,0.5,5,0, , , LLEYN PENIN, NW WALES,
25/05/1985, 03:20:39.8,52.13,-2.812,2.7,0.5,3,0.1, , , NR HEREFORD,HER & WOR,
29/09/1985, 05:01:49.2,51.92,-2.91,5,0.5,2, , , , NR ABERGAVENNY,GWENT,
15/11/1986, 14:37:44.9,52.968,-4.396,20.3,0.5,11,0.2, , , LLEYN AFTERSHOCK,,
24/01/1987, 12:53:04.7,52.749,-3.048,4.9,0.5,6,0.3, , , N.WELSHPOOL,SALOP,
07/01/1988, 04:06:06.2,51.689,-3.951,15,0.5,3,0, , , PONTARDAWE,W GLAMORGAN,
06/02/1988, 05:08:35.6,53.019,-4.485,12.5,0.5,10,0.2, , , NW LLEYN,GWYNEDD,
31/07/1988, 04:41:03.5,52.017,-3.103,10.3,0.5,4,0, , , HAY-ON-WYE,HER & WORC,
08/08/1988, 19:20:43.6,52.04,-3.087,9.1,0.5,3,0, , , HAY-ON-WYE,HER & WORC,
13/10/1988, 11:00:21.3,51.851,-3.073,46.8,0.5,3,0, , , MERTHYR TYDFIL,POWYS,
22/04/1989, 09:41:58.5,52.178,-3.567,5,0.5,3,0, , , BEULAH,POWYS,
15/05/1989, 19:45:28.6,52.704,-3.998,8,0.5,8,0.2, , , BARMOUTH,GWYNEDD,
02/07/1989, 17:01:31.0,53.15,-3.971,8.6,0.5,7,0.2, , , BETHESDA,GWYNEDD,
28/07/1989, 11:59:42.6,52.069,-3.224,25.2,0.5,3,0, , , KINGTON,HER & WORC,
31/07/1989, 16:25:56.5,52.839,-3.795,4.4,0.5,4,0.2, , , GWYNFYNYDD,GWYNEDD,
25/10/1989, 00:43:04.2,52.894,-4.464,10.4,0.5,7,0.2, , , LLEYN,GWYNEDD,
28/03/1990, 17:51:47.9,52.968,-4.363,21.8,0.5,10,0.2, , , LLEYN,GWYNEDD,
25/09/1990, 13:15:38.0,52.962,-4.368,21.3,0.5,10,0.2, , , LLEYN,GWYNEDD,
04/10/1990, 03:30:19.4,52.859,-3.976,11,0.5,11,0.3, , , LLANBEDR,GWYNEDD,
19/01/1991, 06:21:15.2,52.932,-4.362,11.3,0.5,10,0.3, , , LLEYN,GWYNEDD,
11/02/1991, 14:01:16.6,51.807,-3.7,4.1,0.5,5,0.3, , , ABERCRAF,POWYS,
03/08/1991, 03:20:49.7,53.333,-4.281,18.3,0.5,4,0, , , MOELFRE,ANGLESEY,
26/12/1992, 05:50:25.8,53.465,-4.276,15.6,0.5,10,0.1, , , AMLWCH,GWYNEDD,
11/06/1993, 01:54:09.7,52.385,-3.005,13.1,0.5,7,0.2, , , KNIGHTON,POWYS,
17/08/1993, 08:25:54.2,52.927,-4.356,12.8,0.5,5,0.1, , , NR PWLLHELI,GWYNEDD,
17/09/1993, 12:19:05.7,52.744,-4.978,12.6,0.5,10,0.3, , , IRISH SEA,,
14/02/1994, 03:52:20.7,52.782,-4.172,20.4,0.5,6,0.2, , , TREMADOG BAY,GWYNEDD,
18/01/1995, 12:34:39.7,52.962,-4.37,22.4,0.5,10,0.1, , , LLEYN PENIN,GWYNEDD,
18/07/1995, 05:04:54.4,52.86,-3.574,13,0.5,9,0.1, , , BALA,GWYNEDD,
19/08/1996, 17:56:55.9,52.7,-4.016,9.7,0.5, , , , , FAIRBOURNE,GWYNEDD,
25/08/1996, 06:58:10.2,52.99,-3.994,23.5,0.5, , , , , BLAENAU FFESTINIOG,,
06/09/1996, 00:20:24.2,51.755,-3.29,6.7,0.5, , , , , MERTHYR TYDFIL,MID GLAM,
14/12/1997, 07:05:28.5,52.847,-4.094,16.1,0.5, , , , , HARLECH,GWYNEDD,
27/01/1998, 22:03:27.2,53.059,-4.419,20.1,0.5, , , , , CAERNARVON BAY,GWYNEDD,
05/07/1998, 09:55:39.5,52.876,-4.73,17.4,0.5, , , , , OFF LLEYN PENIN,GWYNEDD,
29/11/1998, 20:34:31.9,52.953,-4.369,23.3,0.5, , , , , LLEYN PENIN,GWYNEDD,
04/07/2000, 04:21:54.7,53.017,-4.536,15.6,0.5, , , , , CAERNARVON BAY,GWYNEDD,
08/08/2004, 05:06:25.5,53.459,-4.604,12.9,0.5,4,0, , , IRISH SEA,,
21/10/2005, 20:18:38.3,53.026,-4.027,16.6,0.5,6,0.1, , , BLAENAU FFESTINIOG,,
12/03/2010, 06:02:29.0,53.425,-4.557,10.1,0.5,6,0.2, , , ISLE OF ANGLESEY,,
31/03/2013, 08:00:16.5,52.953,-4.494,2.1,0.5,3,0.3, , , LLEYN PENINSULA,,
01/03/2015, 18:05:55.5,53.097,-2.894,4.7,0.5,6,0.4, , , ROSSETT,WREXHAM,
27/09/2015, 02:49:38.8,52.37,-3.115,13.8,0.5,6,0.2, , , KNIGHTON,POWYS,
02/08/2016, 19:46:54.4,52.982,-4.381,21.1,0.5,7,0.3, , , LLEYN PENINSULA,,
21/10/2016, 17:31:37.4,51.452,-2.622,11.8,0.5,6,0.2, , , BRISTOL,CITY OF BRISTOL,
30/10/2016, 13:39:25.8,53.028,-2.94,5.1,0.5,8,0.3, , , MARCHWIEL,WREXHAM,
17/01/2017, 01:16:23.1,51.635,-3.008,6.3,0.5,6,0.3, , , CWMBRAN,TORFAEN,
03/06/2017, 20:44:50.7,53.359,-3.309,15.3,0.5,7,0.3, , , TALACRE,FLINTSHIRE,
26/07/2017, 20:00:29.4,52.394,-3.696,4.3,0.5,5,0.1, , , LLANGURIG,POWYS,
28/09/2017, 01:00:40.4,52.166,-2.578,2.5,0.5,6,0.2, , , PENCOMBE,HEREFORDSHIRE,
28/09/2017, 23:21:16.3,52.585,-2.847,11.9,0.5,7,0.2, , , CHURCH STRETTON,SALOP,
17/02/2018, 16:07:10.4,51.756,-3.823,8,0.5,4,0.1, , , CWMLLYNFELL,NPT,
08/05/2018, 07:22:21.8,52.801,-3.959,21.9,0.5,4,0.1, , , GANLLWYD,GYWNEDD,
10/06/2018, 18:48:49.4,53.176,-4.753,7.1,0.5,6,0.2, , , CAERNARFON BAY,,
12/06/2018, 22:56:29.6,51.003,-3.657,8.4,0.5,5,0.4, , , KNOWSTONE,DEVON,
24/03/2020, 17:01:32.6,51.989,-2.862,15.2,0.5,5,0.1, , , PONTRILAS,HEREFORDSHIRE,
03/02/2021, 07:27:24.0,52.334,-3.609,10.8,0.5,5,0.1, , , RHAYADER,POWYS,
02/03/2021, 06:23:50.5,52.901,-3.492,12.1,0.5,5,0.1, , , LLANDDERFEL,GWYNEDD,
31/03/2022, 20:55:59.6,51.939,-2.982,13.9,0.5,4,0.1, , , CLODOCK,HEREFORDSHIRE,
